CIDADE,UF,REGIAO
Alta Floresta D'Oeste,RO,Norte
Alto Alegre dos Parecis,RO,Norte
Alto Paraíso,RO,Norte
Alvorada D'Oeste,RO,Norte
Ariquemes,RO,Norte
Buritis,RO,Norte
Cabixi,RO,Norte
Cacaulândia,RO,Norte
Cacoal,RO,Norte
Campo Novo de Rondônia,RO,Norte
Candeias do Jamari,RO,Norte
Castanheiras,RO,Norte
Cerejeiras,RO,Norte
Chupinguaia,RO,Norte
Colorado do Oeste,RO,Norte
Corumbiara,RO,Norte
Costa Marques,RO,Norte
Cujubim,RO,Norte
Espigão D'Oeste,RO,Norte
Governador Jorge Teixeira,RO,Norte
Guajará-Mirim,RO,Norte
Itapuã do Oeste,RO,Norte
Jaru,RO,Norte
Ji-Paraná,RO,Norte
Machadinho D'Oeste,RO,Norte
Ministro Andreazza,RO,Norte
Mirante da Serra,RO,Norte
Monte Negro,RO,Norte
Nova Brasilândia D'Oeste,RO,Norte
Nova Mamoré,RO,Norte
Nova União,RO,Norte
Novo Horizonte do Oeste,RO,Norte
Ouro Preto do Oeste,RO,Norte
Parecis,RO,Norte
Pimenta Bueno,RO,Norte
Pimenteiras do Oeste,RO,Norte
Porto Velho,RO,Norte
Presidente Médici,RO,Norte
Primavera de Rondônia,RO,Norte
Rio Crespo,RO,Norte
Rolim de Moura,RO,Norte
Santa Luzia D'Oeste,RO,Norte
São Felipe D'Oeste,RO,Norte
São Francisco do Guaporé,RO,Norte
São Miguel do Guaporé,RO,Norte
Seringueiras,RO,Norte
Teixeirópolis,RO,Norte
Theobroma,RO,Norte
Urupá,RO,Norte
Vale do Anari,RO,Norte
Vale do Paraíso,RO,Norte
Vilhena,RO,Norte
Acrelândia,AC,Norte
Assis Brasil,AC,Norte
Brasiléia,AC,Norte
Bujari,AC,Norte
Capixaba,AC,Norte
Cruzeiro do Sul,AC,Norte
Epitaciolândia,AC,Norte
Feijó,AC,Norte
Jordão,AC,Norte
Mâncio Lima,AC,Norte
Manoel Urbano,AC,Norte
Marechal Thaumaturgo,AC,Norte
Plácido de Castro,AC,Norte
Porto Acre,AC,Norte
Porto Walter,AC,Norte
Rio Branco,AC,Norte
Rodrigues Alves,AC,Norte
Santa Rosa do Purus,AC,Norte
Sena Madureira,AC,Norte
Senador Guiomard,AC,Norte
Tarauacá,AC,Norte
Xapuri,AC,Norte
Alvarães,AM,Norte
Amaturá,AM,Norte
Anamã,AM,Norte
Anori,AM,Norte
Apuí,AM,Norte
Atalaia do Norte,AM,Norte
Autazes,AM,Norte
Barcelos,AM,Norte
Barreirinha,AM,Norte
Benjamin Constant,AM,Norte
Beruri,AM,Norte
Boa Vista do Ramos,AM,Norte
Boca do Acre,AM,Norte
Borba,AM,Norte
Caapiranga,AM,Norte
Canutama,AM,Norte
Carauari,AM,Norte
Careiro,AM,Norte
Careiro da Várzea,AM,Norte
Coari,AM,Norte
Codajás,AM,Norte
Eirunepé,AM,Norte
Envira,AM,Norte
Fonte Boa,AM,Norte
