CIDADE,UF,REGIAO
Alta Floresta D'Oeste,RO,Norte
Alto Alegre dos Parecis,RO,Norte
Alto Paraíso,RO,Norte
Alvorada D'Oeste,RO,Norte
Ariquemes,RO,Norte
Buritis,RO,Norte
Cabixi,RO,Norte
Cacaulândia,RO,Norte
Cacoal,RO,Norte
Campo Novo de Rondônia,RO,Norte
Candeias do Jamari,RO,Norte
Castanheiras,RO,Norte
Cerejeiras,RO,Norte
Chupinguaia,RO,Norte
Colorado do Oeste,RO,Norte
Corumbiara,RO,Norte
Costa Marques,RO,Norte
Cujubim,RO,Norte
Espigão D'Oeste,RO,Norte
Governador Jorge Teixeira,RO,Norte
Guajará-Mirim,RO,Norte
Itapuã do Oeste,RO,Norte
Jaru,RO,Norte
Ji-Paraná,RO,Norte
Machadinho D'Oeste,RO,Norte
Ministro Andreazza,RO,Norte
Mirante da Serra,RO,Norte
Monte Negro,RO,Norte
Nova Brasilândia D'Oeste,RO,Norte
Nova Mamoré,RO,Norte
Nova União,RO,Norte
Novo Horizonte do Oeste,RO,Norte
Ouro Preto do Oeste,RO,Norte
Parecis,RO,Norte
Pimenta Bueno,RO,Norte
Pimenteiras do Oeste,RO,Norte
Porto Velho,RO,Norte
Presidente Médici,RO,Norte
Primavera de Rondônia,RO,Norte
Rio Crespo,RO,Norte
Rolim de Moura,RO,Norte
Santa Luzia D'Oeste,RO,Norte
São Felipe D'Oeste,RO,Norte
São Francisco do Guaporé,RO,Norte
São Miguel do Guaporé,RO,Norte
Seringueiras,RO,Norte
Teixeirópolis,RO,Norte
Theobroma,RO,Norte
Urupá,RO,Norte
Vale do Anari,RO,Norte
Vale do Paraíso,RO,Norte
Vilhena,RO,Norte
Acrelândia,AC,Norte
Assis Brasil,AC,Norte
Brasiléia,AC,Norte
Bujari,AC,Norte
Capixaba,AC,Norte
Cruzeiro do Sul,AC,Norte
Epitaciolândia,AC,Norte
Feijó,AC,Norte
Jordão,AC,Norte
Mâncio Lima,AC,Norte
Manoel Urbano,AC,Norte
Marechal Thaumaturgo,AC,Norte
Plácido de Castro,AC,Norte
Porto Acre,AC,Norte
Porto Walter,AC,Norte
Rio Branco,AC,Norte
Rodrigues Alves,AC,Norte
Santa Rosa do Purus,AC,Norte
Sena Madureira,AC,Norte
Senador Guiomard,AC,Norte
Tarauacá,AC,Norte
Xapuri,AC,Norte
Alvarães,AM,Norte
Amaturá,AM,Norte
Anamã,AM,Norte
Anori,AM,Norte
Apuí,AM,Norte
Atalaia do Norte,AM,Norte
Autazes,AM,Norte
Barcelos,AM,Norte
Barreirinha,AM,Norte
Benjamin Constant,AM,Norte
Beruri,AM,Norte
Boa Vista do Ramos,AM,Norte
Boca do Acre,AM,Norte
Borba,AM,Norte
Caapiranga,AM,Norte
Canutama,AM,Norte
Carauari,AM,Norte
Careiro,AM,Norte
Careiro da Várzea,AM,Norte
Coari,AM,Norte
Codajás,AM,Norte
Eirunepé,AM,Norte
Envira,AM,Norte
Fonte Boa,AM,Norte
Guajará,AM,Norte
Humaitá,AM,Norte
Ipixuna,AM,Norte
Iranduba,AM,Norte
Itacoatiara,AM,Norte
Itamarati,AM,Norte
Itapiranga,AM,Norte
Japurá,AM,Norte
Juruá,AM,Norte
Jutaí,AM,Norte
Lábrea,AM,Norte
Manacapuru,AM,Norte
Manaquiri,AM,Norte
Manaus,AM,Norte
Manicoré,AM,Norte
Maraã,AM,Norte
Maués,AM,Norte
Nhamundá,AM,Norte
Nova Olinda do Norte,AM,Norte
Novo Airão,AM,Norte
Novo Aripuanã,AM,Norte
Parintins,AM,Norte
Pauini,AM,Norte
Presidente Figueiredo,AM,Norte
Rio Preto da Eva,AM,Norte
Santa Isabel do Rio Negro,AM,Norte
Santo Antônio do Içá,AM,Norte
São Gabriel da Cachoeira,AM,Norte
São Paulo de Olivença,AM,Norte
São Sebastião do Uatumã,AM,Norte
Silves,AM,Norte
Tabatinga,AM,Norte
Tapauá,AM,Norte
Tefé,AM,Norte
Tonantins,AM,Norte
Uarini,AM,Norte
Urucará,AM,Norte
Urucurituba,AM,Norte
Alto Alegre,RR,Norte
Amajari,RR,Norte
Boa Vista,RR,Norte
Bonfim,RR,Norte
Cantá,RR,Norte
Caracaraí,RR,Norte
Caroebe,RR,Norte
Iracema,RR,Norte
Mucajaí,RR,Norte
Normandia,RR,Norte
Pacaraima,RR,Norte
Rorainópolis,RR,Norte
São João da Baliza,RR,Norte
São Luiz,RR,Norte
Uiramutã,RR,Norte
Abaetetuba,PA,Norte
Abel Figueiredo,PA,Norte
Acará,PA,Norte
Afuá,PA,Norte
Água Azul do Norte,PA,Norte
Alenquer,PA,Norte
Almeirim,PA,Norte
Altamira,PA,Norte
Anajás,PA,Norte
Ananindeua,PA,Norte
Anapu,PA,Norte
Augusto Corrêa,PA,Norte
Aurora do Pará,PA,Norte
Aveiro,PA,Norte
Bagre,PA,Norte
Baião,PA,Norte
Bannach,PA,Norte
Barcarena,PA,Norte
Belém,PA,Norte
Belterra,PA,Norte
Benevides,PA,Norte
Bom Jesus do Tocantins,PA,Norte
Bonito,PA,Norte
Bragança,PA,Norte
Brasil Novo,PA,Norte
Brejo Grande do Araguaia,PA,Norte
Breu Branco,PA,Norte
Breves,PA,Norte
Bujaru,PA,Norte
Cachoeira do Arari,PA,Norte
Cachoeira do Piriá,PA,Norte
Cametá,PA,Norte
Canaã dos Carajás,PA,Norte
Capanema,PA,Norte
Capitão Poço,PA,Norte
Castanhal,PA,Norte
Chaves,PA,Norte
Colares,PA,Norte
Conceição do Araguaia,PA,Norte
Concórdia do Pará,PA,Norte
Cumaru do Norte,PA,Norte
Curionópolis,PA,Norte
Curralinho,PA,Norte
Curuá,PA,Norte
Curuçá,PA,Norte
Dom Eliseu,PA,Norte
Eldorado do Carajás,PA,Norte
Faro,PA,Norte
Floresta do Araguaia,PA,Norte
Garrafão do Norte,PA,Norte
Goianésia do Pará,PA,Norte
Gurupá,PA,Norte
Igarapé-Açu,PA,Norte
Igarapé-Miri,PA,Norte
Inhangapi,PA,Norte
Ipixuna do Pará,PA,Norte
Irituia,PA,Norte
Itaituba,PA,Norte
Itupiranga,PA,Norte
Jacareacanga,PA,Norte
Jacundá,PA,Norte
Juruti,PA,Norte
Limoeiro do Ajuru,PA,Norte
Mãe do Rio,PA,Norte
Magalhães Barata,PA,Norte
Marabá,PA,Norte
Maracanã,PA,Norte
Marapanim,PA,Norte
Marituba,PA,Norte
Medicilândia,PA,Norte
Melgaço,PA,Norte
Mocajuba,PA,Norte
Moju,PA,Norte
Mojuí dos Campos,PA,Norte
Monte Alegre,PA,Norte
Muaná,PA,Norte
Nova Esperança do Piriá,PA,Norte
Nova Ipixuna,PA,Norte
Nova Timboteua,PA,Norte
Novo Progresso,PA,Norte
Novo Repartimento,PA,Norte
Óbidos,PA,Norte
Oeiras do Pará,PA,Norte
Oriximiná,PA,Norte
Ourém,PA,Norte
Ourilândia do Norte,PA,Norte
Pacajá,PA,Norte
Palestina do Pará,PA,Norte
Paragominas,PA,Norte
Parauapebas,PA,Norte
Pau D'Arco,PA,Norte
Peixe-Boi,PA,Norte
Piçarra,PA,Norte
Placas,PA,Norte
Ponta de Pedras,PA,Norte
Portel,PA,Norte
Porto de Moz,PA,Norte
Prainha,PA,Norte
Primavera,PA,Norte
Quatipuru,PA,Norte
Redenção,PA,Norte
Rio Maria,PA,Norte
Rondon do Pará,PA,Norte
Rurópolis,PA,Norte
Salinópolis,PA,Norte
Salvaterra,PA,Norte
Santa Bárbara do Pará,PA,Norte
Santa Cruz do Arari,PA,Norte
Santa Izabel do Pará,PA,Norte
Santa Luzia do Pará,PA,Norte
Santa Maria das Barreiras,PA,Norte
Santa Maria do Pará,PA,Norte
Santana do Araguaia,PA,Norte
Santarém,PA,Norte
Santarém Novo,PA,Norte
Santo Antônio do Tauá,PA,Norte
São Caetano de Odivelas,PA,Norte
São Domingos do Araguaia,PA,Norte
São Domingos do Capim,PA,Norte
São Félix do Xingu,PA,Norte
São Francisco do Pará,PA,Norte
São Geraldo do Araguaia,PA,Norte
São João da Ponta,PA,Norte
São João de Pirabas,PA,Norte
São João do Araguaia,PA,Norte
São Miguel do Guamá,PA,Norte
São Sebastião da Boa Vista,PA,Norte
Sapucaia,PA,Norte
Senador José Porfírio,PA,Norte
Soure,PA,Norte
Tailândia,PA,Norte
Terra Alta,PA,Norte
Terra Santa,PA,Norte
Tomé-Açu,PA,Norte
Tracuateua,PA,Norte
Trairão,PA,Norte
Tucumã,PA,Norte
Tucuruí,PA,Norte
Ulianópolis,PA,Norte
Uruará,PA,Norte
Vigia,PA,Norte
Viseu,PA,Norte
Vitória do Xingu,PA,Norte
Xinguara,PA,Norte
Amapá,AP,Norte
Calçoene,AP,Norte
Cutias,AP,Norte
Ferreira Gomes,AP,Norte
Itaubal,AP,Norte
Laranjal do Jari,AP,Norte
Macapá,AP,Norte
Mazagão,AP,Norte
Oiapoque,AP,Norte
Pedra Branca do Amapari,AP,Norte
Porto Grande,AP,Norte
Pracuúba,AP,Norte
Santana,AP,Norte
Serra do Navio,AP,Norte
Tartarugalzinho,AP,Norte
Vitória do Jari,AP,Norte
Abreulândia,TO,Norte
Aguiarnópolis,TO,Norte
Aliança do Tocantins,TO,Norte
Almas,TO,Norte
Alvorada,TO,Norte
Ananás,TO,Norte
Angico,TO,Norte
Aparecida do Rio Negro,TO,Norte
Aragominas,TO,Norte
Araguacema,TO,Norte
Araguaçu,TO,Norte
Araguaína,TO,Norte
Araguanã,TO,Norte
Araguatins,TO,Norte
Arapoema,TO,Norte
Arraias,TO,Norte
Augustinópolis,TO,Norte
Aurora do Tocantins,TO,Norte
Axixá do Tocantins,TO,Norte
Babaçulândia,TO,Norte
Bandeirantes do Tocantins,TO,Norte
Barra do Ouro,TO,Norte
Barrolândia,TO,Norte
Bernardo Sayão,TO,Norte
Bom Jesus do Tocantins,TO,Norte
Brasilândia do Tocantins,TO,Norte
Brejinho de Nazaré,TO,Norte
Buriti do Tocantins,TO,Norte
Cachoeirinha,TO,Norte
Campos Lindos,TO,Norte
Cariri do Tocantins,TO,Norte
Carmolândia,TO,Norte
Carrasco Bonito,TO,Norte
Caseara,TO,Norte
Centenário,TO,Norte
Chapada da Natividade,TO,Norte
Chapada de Areia,TO,Norte
Colinas do Tocantins,TO,Norte
Colméia,TO,Norte
Combinado,TO,Norte
Conceição do Tocantins,TO,Norte
Couto Magalhães,TO,Norte
Cristalândia,TO,Norte
Crixás do Tocantins,TO,Norte
Darcinópolis,TO,Norte
Dianópolis,TO,Norte
Divinópolis do Tocantins,TO,Norte
Dois Irmãos do Tocantins,TO,Norte
Dueré,TO,Norte
Esperantina,TO,Norte
Fátima,TO,Norte
Figueirópolis,TO,Norte
Filadélfia,TO,Norte
Formoso do Araguaia,TO,Norte
Goianorte,TO,Norte
Goiatins,TO,Norte
Guaraí,TO,Norte
Gurupi,TO,Norte
Ipueiras,TO,Norte
Itacajá,TO,Norte
Itaguatins,TO,Norte
Itapiratins,TO,Norte
Itaporã do Tocantins,TO,Norte
Jaú do Tocantins,TO,Norte
Juarina,TO,Norte
Lagoa da Confusão,TO,Norte
Lagoa do Tocantins,TO,Norte
Lajeado,TO,Norte
Lavandeira,TO,Norte
Lizarda,TO,Norte
Luzinópolis,TO,Norte
Marianópolis do Tocantins,TO,Norte
Mateiros,TO,Norte
Maurilândia do Tocantins,TO,Norte
Miracema do Tocantins,TO,Norte
Miranorte,TO,Norte
Monte do Carmo,TO,Norte
Monte Santo do Tocantins,TO,Norte
Muricilândia,TO,Norte
Natividade,TO,Norte
Nazaré,TO,Norte
Nova Olinda,TO,Norte
Nova Rosalândia,TO,Norte
Novo Acordo,TO,Norte
Novo Alegre,TO,Norte
Novo Jardim,TO,Norte
Oliveira de Fátima,TO,Norte
Palmas,TO,Norte
Palmeirante,TO,Norte
Palmeiras do Tocantins,TO,Norte
Palmeirópolis,TO,Norte
Paraíso do Tocantins,TO,Norte
Paranã,TO,Norte
Pau D'Arco,TO,Norte
Pedro Afonso,TO,Norte
Peixe,TO,Norte
Pequizeiro,TO,Norte
Pindorama do Tocantins,TO,Norte
Piraquê,TO,Norte
Pium,TO,Norte
Ponte Alta do Bom Jesus,TO,Norte
Ponte Alta do Tocantins,TO,Norte
Porto Alegre do Tocantins,TO,Norte
Porto Nacional,TO,Norte
Praia Norte,TO,Norte
Presidente Kennedy,TO,Norte
Pugmil,TO,Norte
Recursolândia,TO,Norte
Riachinho,TO,Norte
Rio da Conceição,TO,Norte
Rio dos Bois,TO,Norte
Rio Sono,TO,Norte
Sampaio,TO,Norte
Sandolândia,TO,Norte
Santa Fé do Araguaia,TO,Norte
Santa Maria do Tocantins,TO,Norte
Santa Rita do Tocantins,TO,Norte
Santa Rosa do Tocantins,TO,Norte
Santa Tereza do Tocantins,TO,Norte
Santa Terezinha do Tocantins,TO,Norte
São Bento do Tocantins,TO,Norte
São Félix do Tocantins,TO,Norte
São Miguel do Tocantins,TO,Norte
São Salvador do Tocantins,TO,Norte
São Sebastião do Tocantins,TO,Norte
São Valério,TO,Norte
Silvanópolis,TO,Norte
Sítio Novo do Tocantins,TO,Norte
Sucupira,TO,Norte
Tabocão,TO,Norte
Taguatinga,TO,Norte
Taipas do Tocantins,TO,Norte
Talismã,TO,Norte
Tocantínia,TO,Norte
Tocantinópolis,TO,Norte
Tupirama,TO,Norte
Tupiratins,TO,Norte
Wanderlândia,TO,Norte
Xambioá,TO,Norte
Açailândia,MA,Nordeste
Afonso Cunha,MA,Nordeste
Água Doce do Maranhão,MA,Nordeste
Alcântara,MA,Nordeste
Aldeias Altas,MA,Nordeste
Altamira do Maranhão,MA,Nordeste
Alto Alegre do Maranhão,MA,Nordeste
Alto Alegre do Pindaré,MA,Nordeste
Alto Parnaíba,MA,Nordeste
Amapá do Maranhão,MA,Nordeste
Amarante do Maranhão,MA,Nordeste
Anajatuba,MA,Nordeste
Anapurus,MA,Nordeste
Apicum-Açu,MA,Nordeste
Araguanã,MA,Nordeste
Araioses,MA,Nordeste
Arame,MA,Nordeste
Arari,MA,Nordeste
Axixá,MA,Nordeste
Bacabal,MA,Nordeste
Bacabeira,MA,Nordeste
Bacuri,MA,Nordeste
Bacurituba,MA,Nordeste
Balsas,MA,Nordeste
Barão de Grajaú,MA,Nordeste
Barra do Corda,MA,Nordeste
Barreirinhas,MA,Nordeste
Bela Vista do Maranhão,MA,Nordeste
Belágua,MA,Nordeste
Benedito Leite,MA,Nordeste
Bequimão,MA,Nordeste
Bernardo do Mearim,MA,Nordeste
Boa Vista do Gurupi,MA,Nordeste
Bom Jardim,MA,Nordeste
Bom Jesus das Selvas,MA,Nordeste
Bom Lugar,MA,Nordeste
Brejo,MA,Nordeste
Brejo de Areia,MA,Nordeste
Buriti,MA,Nordeste
Buriti Bravo,MA,Nordeste
Buriticupu,MA,Nordeste
Buritirana,MA,Nordeste
Cachoeira Grande,MA,Nordeste
Cajapió,MA,Nordeste
Cajari,MA,Nordeste
Campestre do Maranhão,MA,Nordeste
Cândido Mendes,MA,Nordeste
Cantanhede,MA,Nordeste
Capinzal do Norte,MA,Nordeste
Carolina,MA,Nordeste
Carutapera,MA,Nordeste
Caxias,MA,Nordeste
Cedral,MA,Nordeste
Central do Maranhão,MA,Nordeste
Centro do Guilherme,MA,Nordeste
Centro Novo do Maranhão,MA,Nordeste
Chapadinha,MA,Nordeste
Cidelândia,MA,Nordeste
Codó,MA,Nordeste
Coelho Neto,MA,Nordeste
Colinas,MA,Nordeste
Conceição do Lago-Açu,MA,Nordeste
Coroatá,MA,Nordeste
Cururupu,MA,Nordeste
Davinópolis,MA,Nordeste
Dom Pedro,MA,Nordeste
Duque Bacelar,MA,Nordeste
Esperantinópolis,MA,Nordeste
Estreito,MA,Nordeste
Feira Nova do Maranhão,MA,Nordeste
Fernando Falcão,MA,Nordeste
Formosa da Serra Negra,MA,Nordeste
Fortaleza dos Nogueiras,MA,Nordeste
Fortuna,MA,Nordeste
Godofredo Viana,MA,Nordeste
Gonçalves Dias,MA,Nordeste
Governador Archer,MA,Nordeste
Governador Edison Lobão,MA,Nordeste
Governador Eugênio Barros,MA,Nordeste
Governador Luiz Rocha,MA,Nordeste
Governador Newton Bello,MA,Nordeste
Governador Nunes Freire,MA,Nordeste
Graça Aranha,MA,Nordeste
Grajaú,MA,Nordeste
Guimarães,MA,Nordeste
Humberto de Campos,MA,Nordeste
Icatu,MA,Nordeste
Igarapé do Meio,MA,Nordeste
Igarapé Grande,MA,Nordeste
Imperatriz,MA,Nordeste
Itaipava do Grajaú,MA,Nordeste
Itapecuru Mirim,MA,Nordeste
Itinga do Maranhão,MA,Nordeste
Jatobá,MA,Nordeste
Jenipapo dos Vieiras,MA,Nordeste
João Lisboa,MA,Nordeste
Joselândia,MA,Nordeste
Junco do Maranhão,MA,Nordeste
Lago da Pedra,MA,Nordeste
Lago do Junco,MA,Nordeste
Lago dos Rodrigues,MA,Nordeste
Lago Verde,MA,Nordeste
Lagoa do Mato,MA,Nordeste
Lagoa Grande do Maranhão,MA,Nordeste
Lajeado Novo,MA,Nordeste
Lima Campos,MA,Nordeste
Loreto,MA,Nordeste
Luís Domingues,MA,Nordeste
Magalhães de Almeida,MA,Nordeste
Maracaçumé,MA,Nordeste
Marajá do Sena,MA,Nordeste
Maranhãozinho,MA,Nordeste
Mata Roma,MA,Nordeste
Matinha,MA,Nordeste
Matões,MA,Nordeste
Matões do Norte,MA,Nordeste
Milagres do Maranhão,MA,Nordeste
Mirador,MA,Nordeste
Miranda do Norte,MA,Nordeste
Mirinzal,MA,Nordeste
Monção,MA,Nordeste
Montes Altos,MA,Nordeste
Morros,MA,Nordeste
Nina Rodrigues,MA,Nordeste
Nova Colinas,MA,Nordeste
Nova Iorque,MA,Nordeste
Nova Olinda do Maranhão,MA,Nordeste
Olho d'Água das Cunhãs,MA,Nordeste
Olinda Nova do Maranhão,MA,Nordeste
Paço do Lumiar,MA,Nordeste
Palmeirândia,MA,Nordeste
Paraibano,MA,Nordeste
Parnarama,MA,Nordeste
Passagem Franca,MA,Nordeste
Pastos Bons,MA,Nordeste
Paulino Neves,MA,Nordeste
Paulo Ramos,MA,Nordeste
Pedreiras,MA,Nordeste
Pedro do Rosário,MA,Nordeste
Penalva,MA,Nordeste
Peri Mirim,MA,Nordeste
Peritoró,MA,Nordeste
Pindaré-Mirim,MA,Nordeste
Pinheiro,MA,Nordeste
Pio XII,MA,Nordeste
Pirapemas,MA,Nordeste
Poção de Pedras,MA,Nordeste
Porto Franco,MA,Nordeste
Porto Rico do Maranhão,MA,Nordeste
Presidente Dutra,MA,Nordeste
Presidente Juscelino,MA,Nordeste
Presidente Médici,MA,Nordeste
Presidente Sarney,MA,Nordeste
Presidente Vargas,MA,Nordeste
Primeira Cruz,MA,Nordeste
Raposa,MA,Nordeste
Riachão,MA,Nordeste
Ribamar Fiquene,MA,Nordeste
Rosário,MA,Nordeste
Sambaíba,MA,Nordeste
Santa Filomena do Maranhão,MA,Nordeste
Santa Helena,MA,Nordeste
Santa Inês,MA,Nordeste
